Product Code,Manufacturer,On Hand
543-7606-02 *, CONCORD ELECTRONICS,104
18-MTW-WHT, FOUR STAR WIRE & CABLE INC,75
4072-1X02HB, OUPIIN AMERICA,436
4072-PIN-T, OUPIIN AMERICA,9446
5PA2 *, R S ELECTRONICS,33
DC1205F12JP,ABEL,1
04-BM0,ADVANCED CABLE TIES INC.,500
AML-53-LGD *,ADVANCED MICRO LITES,483
A202212-NL *,AESCO ELECTRONICS,6
TNC10060XD2HS,AIROTRONICS,60
105-SR2511F-17S,ALPHA,1
JAF10000,ALTECH,1
197-008,ALTECH,2
1CU5,ALTECH,2
EPCAFL4U,ALTECH,2
PIR6W-1P-24U,ALTECH,2
S2,ALTECH,2
2AMPP4,ALTECH,3
2ALM4LB-012,ALTECH,6
CA722/100,ALTECH,6
2511120,ALTECH,12
CMDB4/4,ALTECH,20
"PVP03-3,81",ALTECH,24
5315828,ALTECH,30
MI-252 (5.00),ALTECH,44
CMDB4/3,ALTECH,50
HE10WPR/04,ALTECH,50
CMDB6/4,ALTECH,55
5308709,ALTECH,100
HE1WPR/04,ALTECH,100
MVE-152,ALTECH,100
5308521,ALTECH,149
5308925,ALTECH,312
MI-253 (5.00),ALTECH,324
7211885,ALTECH,370
5308716,ALTECH,395
7211855,ALTECH,600
7211496,ALTECH,666
5308921,ALTECH,795
6000070,ALTECH,3377
7211851,ALTECH CORPOATION,338
5308507,ALTECH CORPOATION,7340
S1,ALTECH CORPORATION,3
KU1.V,ALTECH CORPORATION,7
CA713/10,ALTECH CORPORATION,10
CA715/10,ALTECH CORPORATION,10
7211853,ALTECH CORPORATION,30
MI-273(4),ALTECH CORPORATION,77
7211852,ALTECH CORPORATION,90
5308902,ALTECH CORPORATION,100
7211485,ALTECH CORPORATION,399
5308905,ALTECH CORPORATION,600
5308901,ALTECH CORPORATION,1455
1680-318-1,AME,2486
1445022-2,AMP,2
1445022-3,AMP,2
770030-1,AMP,2
770023-1,AMP,5
770247-3,AMP,5
770246-3,AMP,13
821240,AMP,100
60619-1 *,AMP,590
5649AB,APEM,2
9633NAB,APEM,2
MHPS2266,APEM,3
IPR5FAD6,APEM,4
U1600,APEM,9
A01ES,APEM,24
1213A2ULCSA,APEM,25
U31,APEM,31
AV09C703D200,APEM,40
639H/2-3V,APEM,48
3ATL6,APEM,50
1213MA,APEM,60
U1602,APEM,1211
2641LP2A21900L110V,APEM,3000
Q8P1BXXSY110E,APEM COMPONENTS,75
AV091003C900,APEM COMPONENTS,80
U19775,APEM COMPONENTS,86
2641LH/2A21600L220V,APEM COMPONENTS,147
Q8P1BXXSG110E,APEM COMPONENTS,205
PKX60B1/4,APEM COMPONENTS,464
Q8P1BXXSR12E,APEM COMPONENTS,599
1S09-22.5N,APEM/MEC,185
N5032B,APM,50
18-B  *,APM,103
12-BB WHITE,APM,296
50154,APM,989
60064,APM ,75
IQ1030A RED,APM HEXSEAL,1
40151 BLACK,APM HEXSEAL,59
40155 BLACK,APM HEXSEAL,98
1113/70,APM HEXSEAL,100
HE1070,APM HEXSEAL,100
1113/34,APM HEXSEAL,146
N-1030A,APM HEXSEAL,235
C1221/23 4,APM HEXSEAL,954
IQ1030A 20,APM HEXSEAL,975
N5030 GRAY,APM HEXSEAL,1380
N-303045,APM HEXSEAL,1500
C1221/24 4,APM HEXSEAL,2500
C1221/25,APM HEXSEAL,2500
50154 BLACK,APM HEXSEAL,2683
R6-32X1/2 2701 NYPLATE,APM HEXSEAL,2980
N-303044,APM HEXSEAL,3000
1231/35 4,APM HEXSEAL,4493
SA3179/1,ARCO,20
3832510EB,ARCOLECTRIC,5
C6050ALBB-1196W,ARCOLECTRIC,31
C1572AABB,Arcolectric,175
L188,ARCOLECTRIC,197
C1300ARBB,ARCOLECTRIC,655
C3900BA,ARCOLECTRIC,1796
3032V,ARROW HART/EAGLE,31
SU-0609-6-20,AVID PRODUCTS,2230
4861,BGM,100
21885,BOLTON,1
AV-PANEL,BOLTON,14
15-887,BOLTON,139
0332209-137,BOSCH,3
3851A-282-103BL,BOURNS,101
PIP-11775,BUD,7
PB1559-TF,BUD,58
PC-11471,BUD ENCLOSURES,3
PBC1575C,BUD IND,4
PB-1559,BUD IND,32
PC-11420,BUD INDUSTRIES,7
PB-1554-BF,BUD INDUSTRIES,29
T3 RED,BURGESS/SAIA,1
HEAT SINK,BUS AIR,40
CAP,BUS AIR,390
19135-02M,BUSSMAN,4
76810,BUSSMAN,42
CB211-30,BUSSMAN,48
CB211-20,BUSSMAN,53
32006-A22,BUSSMANN,90
32006-CP,BUSSMANN,90
32006-TPA,BUSSMANN,90
E201J60V8GE2,C&K COMPONENTS,80
752702000,C&K COMPONENTS ,25
L28D1AN01-00000-000,CALRING,10
TIGM5M-1C-WH-A,CALRING TECH,18
CFW-1100-48-D-UNP-BLK,CANUSA,16.6
K2.375BKSU,CANUSA,1000
TGDC405-TB-W,CARL;ING TECH,1200
1186-S,CARLING,1
HK25E-73 *,CARLING,1
L28D1XNM1-3AAXX-1G7-XHS1,CARLING,1
LT-2564-501-012,CARLING,1
LTIGM51-6S-BL-RC-GN-NBL/12V *,CARLING,1
TA201-TB-B,CARLING,1
V2D1160B-AWC00-000,CARLING,1
V6D2A60C-00000-000,CARLING,1
V6D2K66B-ANC00-000,CARLING,1
VM6-01,CARLING,1
VV1KZ00-000,CARLING,1
VVA9C00-ACS,CARLING,1
VVAZC00-000/BOOST CONTROL,CARLING,1
VVGDC00-000,CARLING,1
1238-Q,CARLING,2
859-71716-001,CARLING,2
999-16625-001 *,CARLING,2
L12E1S001-AZZ00-000,CARLING,2
L14D1S001-AZZ00-000,CARLING,2
L21B1CDD1-3AAXX-1XX-XRH1,CARLING,2
V1D2CW6C-APL00-0,CARLING,2
V2D2A60B-ARS00-000,CARLING,2
V6D2U661-JKK00-000,CARLING,2
V9D1HW6B-APD00-0,CARLING,2
VVFMY00-000,CARLING,2
L70D1SW0J-PZ100-0,CARLING,3
LT-2561-601-012,CARLING,3
LT-2584-501-012,CARLING,3
V8D2XX0B-00000-000-XRG1,CARLING,3
VDDKS00B-AZCXX-000,CARLING,3
VVAZS00-000/HORN-NO LENS,CARLING,3
6G057-78/TABS,CARLING,4
700-4A-BL,CARLING,4
L11D1D60A-AMZ00-000,CARLING,4
L11D1DC01-3AZDD-100,CARLING,4
L70B1CDD1-3AAXX-3XX-XLR1,CARLING,4
LRA211-CG-B/125N-XBE1,CARLING,4
V1D1S00B-AZC00-AY,CARLING,4
V2D1S00B-AZC00-16T,CARLING,4
V2D1S00B-AZC00-1AG,CARLING,4
VGDJS00B-AZC00-1AH,CARLING,4
VVAWC00-000/BILGE PUMP/RR,CARLING,4
